品牌:
    跃航 :24003
    玺狮 :5793
    乐活时光 :143949
    爱德朗 :5079
    Deli/得力 :6334
    sd/简域 :10671
    鸿佳 :5039
    金羚 :7486
    洁然 :27563
    木木林 :7395
    纳份爱 :6520
    固特 :6576
    oylang/欧意朗 :9064
    IRIS/爱丽思 :23480
    KIN DON/金盾 :6734
    索尔诺 :10807
    诺维 :7265
    国内品牌 :58614
    冠腾 :96381
    KING SHORE/金号 :10424
    UNKNOWN :8860
    other :363090
    南方 :5554
    BULL/公牛 :20183
    居师傅 :5224
    伊籁 :10253
    索乐 :16846
    越茂 :5851
    3M :6440
    1 :18588
    IKEA/宜家 :27408
    DHP :5926
    SIEMENS/西门子 :7664
    羔羔熊 :5816
    艺必旭 :5289
    财领万家 :7503
    简柜 :6767
    闪缤 :28136
    自主 :25115
    翻旧事 :28448
    other其他 :5126
    福强 :17811
    1208 :5816
    nVc/雷士 :7064
    家旺达 :34218
    中性 :18425
    欧意朗 :24981
    Panasonic/松下 :6122
    OPPLE/欧普照明 :9176
    贝多拉 :9222
    虹锐 :8564
    Coleshome/蔻丝 :150706
    其 他 :9437
    大洪 :7479
    装饰条 :5496
    Philips/飞利浦 :7659
    OTHER :11951
    型号 :12247
    jd :8892
    蔓斯菲尔 :228070
    掘优 :5013
    无 :12027
    德力西 :10603
    品雅一派 :35720
    泰和安 :6180
    其他/other :16443
    Homestar/好事达 :19547
    南极人 :6225
    Cobbe/卡贝 :21665
    也雅 :9656
    阑珊阁 :18164
    SJ/吉盛 :12990
    WENEW :6134
    富强 :6137
    见详情 :56990
    grace/洁丽雅 :11599
    帆朗 :7212
    亿家达 :198790
    众晟 :13516
    耐家 :5388
    自有 :13350
    #0 工厂 :13782
    见描述 :3876635
    Schneider Electric/施耐德 :5424
    小鳗鱼 :7486
    京恋家居 :5918
    其他品牌 :146310
    蒙莱奇 :5472
    DIY :50801
    麦田 :21851
    自主品牌 :827787
    legrand/罗格朗 :7121
    请见宝贝描述 :57642
    其(他)它 :12081
    ALICE & BABY/爱丽思贝 :5547
    CHNT/正泰 :11147
    午憩宝 :27781
    其它/other :17491
    other/其他 :4827228
    OPGCDD :7149
    补漆笔 :27921
材质:
    蕾丝 :130935
    布帘+纱帘 :30018
    铸铝 :8351
    PVC板 :29399
    实木 :76271
    不锈钢 :221971
    橡胶木 :12162
    涤纶（聚酯纤维） :30522
    混合漆 :5813
    水泥 :11464
    人造板 :998890
    PP板 :52874
    橡木 :9240
    涤纶 :13660
    实木复合 :6256
    木制 :44010
    绢 :5783
    棉布 :48352
    麻 :12531
    绸缎 :35417
    化纤 :129271
    泡沫 :12875
    合金 :22334
    太空铝 :37476
    水性丙烯酸漆 :60665
    毛绒 :270646
    丝绸 :15514
    棉 :173237
    木 :1282659
    松木 :10388
    塑料 :793313
    铁 :251275
    植绒布 :5530
    碳钢 :9468
    藤 :25442
    活性炭 :10267
    牛津纺 :14910
